,Team Against,Tournament,Stage,Draw,Loss,Win
0,Albania,International Matches,FIFA World Cup qualification,0,0,4
1,Albania,International Matches,Friendly,0,0,1
2,Albania,International Matches,UEFA Euro qualification,0,0,3
3,Algeria,World Cup,Group stage,0,0,1
4,Andorra,International Matches,Friendly,0,0,1
5,Argentina,International Matches,Friendly,2,5,6
6,Argentina,World Cup,Group stage,0,1,0
7,Armenia,International Matches,FIFA World Cup qualification,0,0,2
8,Armenia,International Matches,UEFA Euro qualification,0,0,4
9,Australia,World Cup,Group stage,0,0,1
10,Austria,International Matches,FIFA World Cup qualification,1,0,1
11,Austria,International Matches,Friendly,2,3,4
12,Austria,International Matches,UEFA Euro qualification,0,0,4
13,Austria,World Cup,First group stage,0,1,0
14,Azerbaijan,International Matches,Friendly,0,0,1
15,Belarus,International Matches,FIFA World Cup qualification,0,0,2
16,Belarus,International Matches,UEFA Euro qualification,0,0,2
17,Belgium,International Matches,FIFA World Cup qualification,1,1,4
18,Belgium,International Matches,Friendly,3,2,5
19,Belgium,International Matches,UEFA Euro,0,1,0
20,Belgium,International Matches,UEFA Euro qualification,1,0,1
21,Belgium,World Cup,Group stage,0,0,1
22,Belgium,World Cup,Quarter-finals,0,1,0
23,Bolivia,International Matches,Friendly,0,0,1
24,Bolivia,World Cup,Group stage,0,0,1
25,Bosnia and Herzegovina,International Matches,FIFA World Cup qualification,2,0,4
26,Bosnia and Herzegovina,International Matches,Friendly,0,0,2
27,Brazil,International Matches,Confederations Cup,0,1,0
28,Brazil,International Matches,Friendly,1,1,1
29,Brazil,World Cup,Final round,0,1,0
30,Brazil,World Cup,First group stage,1,0,0
31,Brazil,World Cup,Group stage,0,2,0
32,Brazil,World Cup,Round of 16,0,0,1
33,Bulgaria,International Matches,Friendly,0,0,3
34,Bulgaria,International Matches,UEFA Euro,1,0,0
35,Bulgaria,World Cup,Group stage,0,0,1
36,Canada,International Matches,Friendly,0,0,2
37,Catalonia,International Matches,Friendly,0,1,3
38,Chile,International Matches,Friendly,2,0,6
39,Chile,World Cup,First round,0,0,1
40,Chile,World Cup,Group stage,0,1,1
41,China PR,International Matches,Friendly,0,0,2
42,Colombia,International Matches,Friendly,2,0,1
43,Costa Rica,International Matches,Friendly,1,0,2
44,Croatia,International Matches,Friendly,1,1,2
45,Croatia,International Matches,UEFA Euro,0,1,2
46,Croatia,International Matches,UEFA Nations League,0,1,1
47,Cyprus,International Matches,UEFA Euro qualification,0,1,7
48,Czech Republic,International Matches,FIFA World Cup qualification,1,0,1
49,Czech Republic,International Matches,UEFA Euro,0,0,1
50,Czech Republic,International Matches,UEFA Euro qualification,0,0,2
51,Czech Republic,International Matches,UEFA Nations League,1,0,1
52,Czechoslovakia,International Matches,Friendly,1,3,2
53,Czechoslovakia,International Matches,UEFA Euro qualification,0,2,2
54,Czechoslovakia,World Cup,Group stage,0,1,0
55,Denmark,International Matches,FIFA World Cup qualification,0,1,1
56,Denmark,International Matches,Friendly,1,1,3
57,Denmark,International Matches,UEFA Euro,0,0,2
58,Denmark,International Matches,UEFA Euro qualification,1,0,5
59,Denmark,World Cup,Round of 16,0,0,1
60,Ecuador,International Matches,Friendly,0,0,2
61,Egypt,International Matches,Friendly,0,0,1
62,El Salvador,International Matches,Friendly,0,0,1
63,England,International Matches,Friendly,2,9,8
64,England,International Matches,UEFA Euro,0,2,0
65,England,International Matches,UEFA Euro qualification,0,2,0
66,England,International Matches,UEFA Nations League,0,1,1
67,England,World Cup,First round,0,0,1
68,England,World Cup,Second group stage,1,0,0
69,Equatorial Guinea,International Matches,Friendly,0,0,1
70,Estonia,International Matches,FIFA World Cup qualification,0,0,2
71,Faroe Islands,International Matches,FIFA World Cup qualification,0,0,2
72,Faroe Islands,International Matches,UEFA Euro qualification,0,0,2
73,Finland,International Matches,FIFA World Cup qualification,1,1,2
74,Finland,International Matches,Friendly,1,0,3
75,France,International Matches,FIFA World Cup qualification,1,0,1
76,France,International Matches,Friendly,5,7,14
77,France,International Matches,UEFA Euro,1,2,1
78,France,International Matches,UEFA Euro qualification,0,2,0
79,France,International Matches,UEFA Nations League,0,1,0
80,France,World Cup,Round of 16,0,1,0
81,Georgia,International Matches,FIFA World Cup qualification,0,0,4
82,Georgia,International Matches,Friendly,0,1,0
83,German DR,International Matches,Friendly,2,1,0
84,Germany,International Matches,Friendly,5,5,4
85,Germany,International Matches,UEFA Euro,0,1,2
86,Germany,International Matches,UEFA Euro qualification,1,1,0
87,Germany,International Matches,UEFA Nations League,1,0,1
88,Germany,World Cup,Group stage,1,1,0
89,Germany,World Cup,Second group stage,0,1,0
90,Germany,World Cup,Semi-finals,0,0,1
91,Greece,International Matches,FIFA World Cup qualification,1,0,3
92,Greece,International Matches,Friendly,1,0,3
93,Greece,International Matches,UEFA Euro,1,0,1
94,Greece,International Matches,UEFA Euro qualification,0,1,1
95,Haiti,International Matches,Friendly,0,0,1
96,Honduras,World Cup,First group stage,1,0,0
97,Honduras,World Cup,Group stage,0,0,1
98,Hungary,International Matches,FIFA World Cup qualification,1,0,1
99,Hungary,International Matches,Friendly,4,3,3
100,Hungary,International Matches,UEFA Euro,0,0,1
101,Iceland,International Matches,FIFA World Cup qualification,0,0,2
102,Iceland,International Matches,Friendly,1,0,1
103,Iceland,International Matches,UEFA Euro qualification,1,1,4
104,Iran,World Cup,Group stage,0,0,1
105,Iraq,International Matches,Confederations Cup,0,0,1
106,Israel,International Matches,FIFA World Cup qualification,1,0,3
107,Israel,International Matches,UEFA Euro qualification,0,0,2
108,Italy,International Matches,Confederations Cup,0,0,1
109,Italy,International Matches,FIFA World Cup qualification,1,0,1
110,Italy,International Matches,Friendly,8,5,8
111,Italy,International Matches,UEFA Euro,2,3,2
112,Italy,International Matches,UEFA Nations League,0,0,1
113,Italy,World Cup,Quarter-finals,1,2,0
114,Ivory Coast,International Matches,Friendly,0,0,1
115,Japan,International Matches,Friendly,0,0,1
116,Kosovo,International Matches,FIFA World Cup qualification,0,0,2
117,Latvia,International Matches,FIFA World Cup qualification,1,0,1
118,Latvia,International Matches,UEFA Euro qualification,0,0,2
119,Liechtenstein,International Matches,FIFA World Cup qualification,0,0,4
120,Liechtenstein,International Matches,UEFA Euro qualification,0,0,4
121,Lithuania,International Matches,FIFA World Cup qualification,1,0,3
122,Lithuania,International Matches,Friendly,0,0,1
123,Lithuania,International Matches,UEFA Euro qualification,0,0,2
124,Luxembourg,International Matches,Friendly,0,0,4
125,Luxembourg,International Matches,UEFA Euro qualification,0,0,2
126,Malta,International Matches,FIFA World Cup qualification,0,0,4
127,Malta,International Matches,UEFA Euro qualification,0,0,4
128,Mexico,International Matches,Friendly,3,0,2
129,Mexico,World Cup,Group stage,0,0,1
130,Morocco,International Matches,FIFA World Cup qualification,0,0,2
131,Morocco,World Cup,Group stage,1,0,0
132,Netherlands,International Matches,Friendly,2,4,2
133,Netherlands,International Matches,UEFA Euro qualification,0,1,1
134,Netherlands,World Cup,Final,0,0,1
135,Netherlands,World Cup,Group stage,0,1,0
136,New Zealand,International Matches,Confederations Cup,0,0,1
137,Nigeria,International Matches,Confederations Cup,0,0,1
138,Nigeria,World Cup,Group stage,0,1,0
139,North Macedonia,International Matches,FIFA World Cup qualification,0,0,2
140,North Macedonia,International Matches,Friendly,0,0,1
141,North Macedonia,International Matches,UEFA Euro qualification,0,0,4
142,Northern Ireland,International Matches,FIFA World Cup qualification,1,0,3
143,Northern Ireland,International Matches,Friendly,1,0,3
144,Northern Ireland,International Matches,UEFA Euro qualification,3,1,4
145,Northern Ireland,World Cup,First group stage,0,1,0
146,Northern Ireland,World Cup,Group stage,0,0,1
147,Norway,International Matches,Friendly,1,0,2
148,Norway,International Matches,UEFA Euro,0,1,0
149,Norway,International Matches,UEFA Euro qualification,1,0,3
150,Panama,International Matches,Friendly,0,0,1
151,Paraguay,International Matches,Friendly,1,0,0
152,Paraguay,World Cup,Group stage,1,0,1
153,Paraguay,World Cup,Quarter-finals,0,0,1
154,Peru,International Matches,Friendly,0,0,3
155,Poland,International Matches,Friendly,1,1,6
156,Poland,International Matches,UEFA Euro,1,0,0
157,Poland,International Matches,UEFA Euro qualification,0,0,2
158,Portugal,International Matches,FIFA World Cup qualification,1,0,3
159,Portugal,International Matches,Friendly,12,7,11
160,Portugal,International Matches,UEFA Euro,1,1,1
161,Portugal,International Matches,UEFA Nations League,1,0,1
162,Portugal,World Cup,Group stage,1,0,0
163,Portugal,World Cup,Round of 16,0,0,1
164,Puerto Rico,International Matches,Friendly,0,0,1
165,Republic of Ireland,International Matches,FIFA World Cup qualification,1,2,4
166,Republic of Ireland,International Matches,Friendly,3,2,6
167,Republic of Ireland,International Matches,UEFA Euro,0,0,1
168,Republic of Ireland,International Matches,UEFA Euro qualification,2,0,4
169,Republic of Ireland,World Cup,Round of 16,0,0,1
170,Romania,International Matches,FIFA World Cup qualification,0,1,1
171,Romania,International Matches,Friendly,2,2,0
172,Romania,International Matches,UEFA Euro,1,0,1
173,Romania,International Matches,UEFA Euro qualification,3,2,5
174,Russia,International Matches,Friendly,3,0,2
175,Russia,International Matches,UEFA Euro,0,0,4
176,Russia,International Matches,UEFA Euro qualification,1,1,0
177,Russia,World Cup,Round of 16,0,1,0
178,San Marino,International Matches,FIFA World Cup qualification,0,0,2
179,San Marino,International Matches,UEFA Euro qualification,0,0,2
180,Saudi Arabia,International Matches,Friendly,0,0,2
181,Saudi Arabia,World Cup,Group stage,0,0,1
182,Scotland,International Matches,FIFA World Cup qualification,0,2,2
183,Scotland,International Matches,Friendly,3,1,1
184,Scotland,International Matches,UEFA Euro qualification,1,0,3
185,Serbia,International Matches,FIFA World Cup qualification,3,0,1
186,Serbia,International Matches,Friendly,0,0,1
187,Serbia,International Matches,UEFA Euro,0,0,1
188,Slovakia,International Matches,FIFA World Cup qualification,1,0,3
189,Slovakia,International Matches,UEFA Euro,0,0,1
190,Slovakia,International Matches,UEFA Euro qualification,0,1,1
191,Slovenia,International Matches,UEFA Euro,0,0,1
192,Slovenia,World Cup,Group stage,0,0,1
193,South Africa,International Matches,Confederations Cup,0,0,2
194,South Africa,International Matches,Friendly,0,1,0
195,South Africa,World Cup,Group stage,0,0,1
196,South Korea,International Matches,Friendly,0,0,3
197,South Korea,World Cup,Group stage,1,0,1
198,South Korea,World Cup,Quarter-finals,0,1,0
199,Sweden,International Matches,FIFA World Cup qualification,0,1,1
200,Sweden,International Matches,Friendly,4,1,2
201,Sweden,International Matches,UEFA Euro,1,0,1
202,Sweden,International Matches,UEFA Euro qualification,1,1,2
203,Sweden,World Cup,Final round,0,1,0
204,Sweden,World Cup,First group stage,0,0,1
205,Switzerland,International Matches,FIFA World Cup qualification,1,0,1
206,Switzerland,International Matches,Friendly,3,0,12
207,Switzerland,International Matches,UEFA Euro,0,0,1
208,Switzerland,International Matches,UEFA Nations League,1,1,2
209,Switzerland,World Cup,Group stage,0,1,1
210,Switzerland,World Cup,Round of 16,0,0,1
211,Tahiti,International Matches,Confederations Cup,0,0,1
212,Tunisia,International Matches,Friendly,0,0,1
213,Tunisia,World Cup,Group stage,0,0,1
214,Turkey,International Matches,FIFA World Cup qualification,1,1,3
215,Turkey,International Matches,Friendly,2,0,0
216,Turkey,International Matches,UEFA Euro,0,0,1
217,Turkey,International Matches,UEFA Euro qualification,1,0,1
218,Ukraine,International Matches,UEFA Euro qualification,1,0,3
219,Ukraine,International Matches,UEFA Nations League,0,1,1
220,Ukraine,World Cup,Group stage,0,0,1
221,United States,International Matches,Confederations Cup,0,1,0
222,United States,International Matches,Friendly,0,0,3
223,United States,World Cup,First round,0,0,1
224,Uruguay,International Matches,Confederations Cup,0,0,1
225,Uruguay,International Matches,Friendly,3,0,4
226,Uruguay,World Cup,Final round,1,0,0
227,Uruguay,World Cup,Group stage,1,0,0
228,Venezuela,International Matches,Friendly,0,0,4
229,Wales,International Matches,FIFA World Cup qualification,1,1,2
230,Wales,International Matches,Friendly,1,0,1
231,Yugoslavia,International Matches,FIFA World Cup qualification,3,1,3
232,Yugoslavia,International Matches,Friendly,1,2,2
233,Yugoslavia,International Matches,UEFA Euro qualification,0,1,1
234,Yugoslavia,World Cup,First group stage,0,0,1
235,Yugoslavia,World Cup,Round of 16,0,1,0
